==7567== NVPROF is profiling process 7567, command: ./MN
==7567== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7567== Profiling application: ./MN


 Processing Done !!! 

==7567== Profiling result:
==7567== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X2 (0)"
    Kernel: executeEleventhLayer_PSC(double*, double*, double*, double*, double*, double*, double*)
          1                                issued_ipc                                            Issued IPC    0.114830    0.114830    0.114830
          1                    issue_slot_utilization                                Issue Slot Utilization       2.77%       2.77%       2.77%
          1                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    0.114197    0.114197    0.114197
          1                           tex_utilization                             Unified Cache Utilization     Low (3)     Low (3)     Low (3)
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization            Double-Precision Function Unit Utilization     Low (3)     Low (3)     Low (3)
          1                        flop_hp_efficiency                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.01%       0.01%       0.01%
          1                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)      21.67%      21.67%      21.67%
          1                            l2_utilization                                  L2 Cache Utilization     Mid (4)     Mid (4)     Mid (4)
          1                          dram_utilization                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1             half_precision_fu_utilization              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
    Kernel: executeTwentySevenLayer_PSC(double*, double*, double*, double*, double*, double*, double*)
          1                             inst_per_warp                                 Instructions per warp  4.0100e+03  4.0100e+03  4.0100e+03
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency      76.56%      76.56%      76.56%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      76.54%      76.54%      76.54%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000101    0.000101    0.000101
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   10.611111   10.611111   10.611111
          1              gst_transactions_per_request                 Global Store Transactions Per Request   18.683105   18.683105   18.683105
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions    44593152    44593152    44593152
          1                          gst_transactions                             Global Store Transactions       38263       38263       38263
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                  L2 Read Transactions    24938245    24938245    24938245
          1                     l2_write_transactions                                 L2 Write Transactions       38306       38306       38306
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      44.14%      44.14%      44.14%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  35.109GB/s  35.109GB/s  35.109GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  33.727MB/s  33.727MB/s  33.727MB/s
          1                            gld_throughput                                Global Load Throughput  65.411GB/s  65.411GB/s  65.411GB/s
          1                            gst_throughput                               Global Store Throughput  102.88MB/s  102.88MB/s  102.88MB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      44.11%      44.11%      44.11%
          1                      tex_cache_throughput                              Unified Cache Throughput  77.241GB/s  77.241GB/s  77.241GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  32.773GB/s  32.773GB/s  32.773GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  102.88MB/s  102.88MB/s  102.88MB/s
          1                        l2_read_throughput                                 L2 Throughput (Reads)  65.480GB/s  65.480GB/s  65.480GB/s
          1                       l2_write_throughput                                L2 Throughput (Writes)  102.99MB/s  102.99MB/s  102.99MB/s
          1                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency      53.67%      53.67%      53.67%
          1                            gst_efficiency                        Global Memory Store Efficiency      32.78%      32.78%      32.78%
          1                    tex_cache_transactions                            Unified Cache Transactions    29417472    29417472    29417472
          1                             flop_count_dp           Floating Point Operations(Double Precision)   103462912   103462912   103462912
          1                         flop_count_dp_add       Floating Point Operations(Double Precision Add)       50176       50176       50176
          1                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)    51681280    51681280    51681280
          1                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)       50176       50176       50176
          1                             flop_count_sp           Floating Point Operations(Single Precision)      100352      100352      100352
          1                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)       50176       50176       50176
          1                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special   Floating Point Operations(Single Precision Special)       50176       50176       50176
          1                             inst_executed                                 Instructions Executed     8212480     8212480     8212480
          1                               inst_issued                                   Instructions Issued     8213302     8213302     8213302
          1                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       0.64%       0.64%       0.64%
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       4.47%       4.47%       4.47%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      22.58%      22.58%      22.58%
          1                             stall_texture                         Issue Stall Reasons (Texture)      31.00%      31.00%      31.00%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)      41.18%      41.18%      41.18%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.00%       0.00%       0.00%
          1                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.00%       0.00%       0.00%
          1                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                                inst_fp_32                               FP Instructions(Single)      200704      200704      200704
          1                                inst_fp_64                               FP Instructions(Double)    51881984    51881984    51881984
          1                              inst_integer                                  Integer Instructions     7526400     7526400     7526400
          1                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
          1                              inst_control                             Control-Flow Instructions      903168      903168      903168
          1                        inst_compute_ld_st                               Load/Store Instructions   103011328   103011328   103011328
          1                                 inst_misc                                     Misc Instructions    37632000    37632000    37632000
          1           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                           Issue Slots     8006313     8006313     8006313
          1                                 cf_issued                      Issued Control-Flow Instructions       38912       38912       38912
          1                               cf_executed                    Executed Control-Flow Instructions       38912       38912       38912
          1                               ldst_issued                        Issued Load/Store Instructions    14728192    14728192    14728192
          1                             ldst_executed                      Executed Load/Store Instructions     4210688     4210688     4210688
          1                       atomic_transactions                                   Atomic Transactions         126         126         126
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)    12481536    12481536    12481536
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.11%       0.11%       0.11%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.02%       0.02%       0.02%
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)       38263       38263       38263
          1                             flop_count_hp             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                 HP Instructions(Half)           0           0           0
          1                             sm_efficiency                               Multiprocessor Activity      99.33%      99.33%      99.33%
          1                        achieved_occupancy                                    Achieved Occupancy    0.977826    0.977826    0.977826
          1                                       ipc                                          Executed IPC    0.326965    0.326965    0.326965
